De Nederlandse supporters,ond,juichten,pv,,wwg,,,,,,,,,,,,
Mijn kleine zusje,ond,krijst,pv,,wwg,,,,,,,,,,,,
De gymdocent ,ond,mopperde,pv,,wwg,,,,,,,,,,,,
Onze buurman op de camping,ond,heeft,pv,gesnurkt,wwg,,,,,,,,,,,,
De boze stier,ond,snuift,pv,,wwg,,,,,,,,,,,,
De verdediger van Barcelona,ond,heeft,pv,gescoord,wwg,,,,,,,,,,,,
Het vliegtuig,ond,daalt,pv,,wwg,,,,,,,,,,,,
Mijn kleine neefje,ond,is,pv,gegroeid,wwg,,,,,,,,,,,,
De trein naar Parijs,ond,is,pv,vertrokken,wwg,,,,,,,,,,,,
Het vliegtuig van de koningin,ond,is,pv,geland,wwg,,,,,,,,,,,,
De wegwerkers,ond,hebben,pv,gepauzeerd,wwg,,,,,,,,,,,,
De ijsjes,ond,smelten,pv,,wwg,,,,,,,,,,,,
De prijs van treinkaartjes,ond,is,pv,gestegen,wwg,,,,,,,,,,,,
De deur van de slaapkamer,ond,klemt,pv,,wwg,,,,,,,,,,,,
Het plannetje,ond,is,pv,mislukt,wwg,,,,,,,,,,,,
Mijn stoel,ond,wiebelt,pv,,wwg,,,,,,,,,,,,
De kinderen uit groep vier,ond,gaan,pv,zwemmen,wwg,,,,,,,,,,,,
De oude vrouw,ond,is,pv,uitgegleden,wwg,,,,,,,,,,,,
De campinggasten,ond,hebben,pv,geklaagd,wwg,,,,,,,,,,,,
Mijn zusje,ond,zeurt,pv,,wwg,,,,,,,,,,,,
Mijn kleine neefje,ond,stotterde,pv,,wwg,,,,,,,,,,,,
De onderkoelde zwemmers,ond,bibberden,pv,,wwg,,,,,,,,,,,,
De vermoeide zwemmers,ond,rusten,pv,,wwg,uit,restpv,,,,,,,,,,
De enthousiaste kinderen,ond,hebben,pv,gezwaaid,wwg,,,,,,,,,,,,
De gearresteerde man,ond,heeft,pv,gelogen,wwg,,,,,,,,,,,,
Het publiek,ond,applaudisseerde,pv,,wwg,,,,,,,,,,,,
De recordpoging,ond,is,pv,mislukt,wwg,,,,,,,,,,,,
De gevangenen,ond,probeerden,pv,te ontsnappen,wwg,,,,,,,,,,,,
De monumentale toren,ond,stortte,pv,,wwg,in,restpv,,,,,,,,,,
De eindexamenkandidaat,ond,heeft,pv,afgekeken,wwg,,,,,,,,,,,,
De rondvaartboot ,ond,is,pv,vertrokken,wwg,,,,,,,,,,,,
