lw,zww,znw,bez,per,bvn,vz,kww,vra,hww,wed,brt,bht,aan,oht,voe,wederkerig,ort,restpv,bijw,bwg,nnb
de,loop,boek,mijn,ik,populaire,van,,Wie,heeft,me,tweede,vier,Deze,Veel,en,elkaar,laatste,toe,Hoeveel,zeer,
het,koopt,brood,Mijn,Zij,omroep,in,,wat,moesten,zich,eerste,twee,Dit,Sommige,,elkander,17e,af,onlangs,typisch,
een,loopt,bakker,Onze,Ik,publieke,met,,welke,kon,zichzelf,,beide,Zo'n,allerlei,,,,,,,
Het,liep,vader,Ons,je,rode,op,,wie,is,,,Drie,dat,veel,,,,,,,
De,danst,moeder,onze,Hij,liberale,onder,,,hebben,,,twintigduizend,deze,Alle,,,,,,,
Een,viel,kat,haar,hij,verse,boven,,,gaan,,,miljoen,die,meerdere,,,,,,,
t,verkoopt,laptop,hun,zij,beschadigde,naar,,,gaat,,,drie,dit,Verschillende,,,,,,,
t,werkt,ijscoman,Jouw,mij,Nederlandse,uit,,,kunnen,,,miljoenen,Dat,sommige,,,,,,,
,verdeelt,computerprogrmma,jouw,jou,kleine,te,,,moest,,,miljarden,,verschillende,,,,,,,
,bakt,weduwnaar,Uw,Je,boze,mee,,,zijn,,,,,alle,,,,,,,
,restaureerde,televisieprogramma,Zijn,hem,oude,zonder,,,hadden,,,,,,,,,,,,
,juichten,presentator,uw,Hem,onderkoelde,voor,,,willen,,,,,,,,,,,,
,krijst,vragen,ons,Haar,vermoeide,over,,,zullen,,,,,,,,,,,,
,mopperde,schiereiland,Hun,Jullie,enthousiaste,Aan,,,zal,,,,,,,,,,,,
,gesnurkt,bewoners,,Mij,gearresteerde,,,,kan,,,,,,,,,,,,
,snuift,zanger,,,monumentale,,,,wilde,,,,,,,,,,,,
,gescoord,dokter,,,teleurgestelde,,,,wilden,,,,,,,,,,,,
,daalt,zusje,,,jonge,,,,laten,,,,,,,,,,,,
,gegroeid,huwelijk,,,volle,,,,proberen,,,,,,,,,,,,
